Episode 126, Reward: 9.0, Avg Critic Loss: 0.0909, Avg Actor Loss: -5.6590, Avg Alpha Loss: -0.7406Updates: 587
Episode 127, Reward: 25.0, Avg Critic Loss: 0.0554, Avg Actor Loss: -5.7940, Avg Alpha Loss: -0.7446Updates: 612
Episode 128, Reward: 11.0, Avg Critic Loss: 0.0892, Avg Actor Loss: -5.8231, Avg Alpha Loss: -0.7386Updates: 623
Episode 129, Reward: 10.0, Avg Critic Loss: 0.1024, Avg Actor Loss: -5.8828, Avg Alpha Loss: -0.7295Updates: 633
Episode 130, Reward: 11.0, Avg Critic Loss: 0.0970, Avg Actor Loss: -5.9470, Avg Alpha Loss: -0.7267Updates: 644
Episode 131, Reward: 13.0, Avg Critic Loss: 0.0799, Avg Actor Loss: -6.0320, Avg Alpha Loss: -0.7199Updates: 657
Episode 132, Reward: 27.0, Avg Critic Loss: 0.1149, Avg Actor Loss: -6.1326, Avg Alpha Loss: -0.7265Updates: 684
Episode 133, Reward: 11.0, Avg Critic Loss: 0.1071, Avg Actor Loss: -6.2783, Avg Alpha Loss: -0.7262Updates: 695
Episode 134, Reward: 12.0, Avg Critic Loss: 0.1153, Avg Actor Loss: -6.2841, Avg Alpha Loss: -0.7241Updates: 707
Episode 135, Reward: 11.0, Avg Critic Loss: 0.1263, Avg Actor Loss: -6.3547, Avg Alpha Loss: -0.7111Updates: 718
Episode 136, Reward: 12.0, Avg Critic Loss: 0.2169, Avg Actor Loss: -6.3825, Avg Alpha Loss: -0.7325Updates: 730
Episode 137, Reward: 15.0, Avg Critic Loss: 0.1463, Avg Actor Loss: -6.4804, Avg Alpha Loss: -0.7397Updates: 745
Episode 138, Reward: 15.0, Avg Critic Loss: 0.1037, Avg Actor Loss: -6.5896, Avg Alpha Loss: -0.7357Updates: 760
Episode 139, Reward: 11.0, Avg Critic Loss: 0.0978, Avg Actor Loss: -6.6852, Avg Alpha Loss: -0.7449Updates: 771
Episode 140, Reward: 18.0, Avg Critic Loss: 0.0928, Avg Actor Loss: -6.7776, Avg Alpha Loss: -0.7408Updates: 789
Episode 141, Reward: 10.0, Avg Critic Loss: 0.1260, Avg Actor Loss: -6.8178, Avg Alpha Loss: -0.7368Updates: 799
Episode 142, Reward: 18.0, Avg Critic Loss: 0.1225, Avg Actor Loss: -6.9180, Avg Alpha Loss: -0.7397Updates: 817
Episode 143, Reward: 11.0, Avg Critic Loss: 0.1534, Avg Actor Loss: -7.0001, Avg Alpha Loss: -0.7392Updates: 828
Episode 144, Reward: 10.0, Avg Critic Loss: 0.1075, Avg Actor Loss: -7.0364, Avg Alpha Loss: -0.7388Updates: 838
Episode 145, Reward: 14.0, Avg Critic Loss: 0.1596, Avg Actor Loss: -7.1086, Avg Alpha Loss: -0.7407Updates: 852
Episode 146, Reward: 35.0, Avg Critic Loss: 0.1736, Avg Actor Loss: -7.2195, Avg Alpha Loss: -0.7483Updates: 887
Episode 147, Reward: 15.0, Avg Critic Loss: 0.1316, Avg Actor Loss: -7.3642, Avg Alpha Loss: -0.7507Updates: 902
Episode 148, Reward: 14.0, Avg Critic Loss: 0.1514, Avg Actor Loss: -7.4557, Avg Alpha Loss: -0.7474Updates: 916
Episode 149, Reward: 15.0, Avg Critic Loss: 0.1176, Avg Actor Loss: -7.5280, Avg Alpha Loss: -0.7511Updates: 931
Episode 150, Reward: 16.0, Avg Critic Loss: 0.0870, Avg Actor Loss: -7.6368, Avg Alpha Loss: -0.7490Updates: 947
Episode 151, Reward: 17.0, Avg Critic Loss: 0.1616, Avg Actor Loss: -7.6816, Avg Alpha Loss: -0.7531Updates: 964
Episode 152, Reward: 10.0, Avg Critic Loss: 0.1737, Avg Actor Loss: -7.6926, Avg Alpha Loss: -0.7438Updates: 974
Episode 153, Reward: 9.0, Avg Critic Loss: 0.1773, Avg Actor Loss: -7.8042, Avg Alpha Loss: -0.7658Updates: 983
Episode 154, Reward: 11.0, Avg Critic Loss: 0.1714, Avg Actor Loss: -7.8436, Avg Alpha Loss: -0.7627Updates: 994
Episode 155, Reward: 9.0, Avg Critic Loss: 0.1607, Avg Actor Loss: -7.8577, Avg Alpha Loss: -0.7627Updates: 1003
Episode 156, Reward: 18.0, Avg Critic Loss: 0.1681, Avg Actor Loss: -7.9644, Avg Alpha Loss: -0.7648Updates: 1021
Episode 157, Reward: 13.0, Avg Critic Loss: 0.0851, Avg Actor Loss: -8.0343, Avg Alpha Loss: -0.7688Updates: 1034
Episode 158, Reward: 21.0, Avg Critic Loss: 0.1027, Avg Actor Loss: -8.1435, Avg Alpha Loss: -0.7728Updates: 1055
Episode 159, Reward: 12.0, Avg Critic Loss: 0.1136, Avg Actor Loss: -8.1434, Avg Alpha Loss: -0.7630Updates: 1067
